step,force_id,Fx,Fy
0,1,4.536664226115295e-06,8.407280719717317e-06
0,2,-9.295845145496021e-06,-3.6860877727348306e-06
0,3,6.295387926135468e-06,-5.912294086419096e-06
1,1,-5.268988471879566e-06,-6.987309180491901e-07
1,2,7.618241470322961e-06,5.219190433155756e-06
1,3,6.579609391234828e-06,5.19218224335968e-06
2,1,4.154415520995661e-06,6.872380513653139e-06
2,2,3.181526477844218e-06,-3.5992136208215936e-06
2,3,-3.965430882142183e-06,-6.647185542025167e-06
3,1,5.130499583115768e-06,-6.6832540846267755e-06
3,2,6.813135181145791e-06,-7.319916171694846e-06
3,3,-3.4113177425634955e-06,4.225957863154079e-06
4,1,-6.897394561243105e-06,2.2397088338334034e-07
4,2,-6.764441001265814e-06,7.364938653899955e-06
4,3,1.507521236232579e-06,6.030254226827335e-06
5,1,-4.249466086264378e-06,3.75787484628326e-06
5,2,-6.85529437225377e-06,-7.280448043109396e-06
5,3,8.907949854621713e-06,-1.3301732380951397e-06
6,1,-1.8281722092177944e-06,3.8424225757003346e-06
6,2,1.377040279075609e-06,-3.298479599324114e-06
6,3,3.4257298152521794e-06,-5.819251842717875e-06
7,1,1.0339994730576616e-06,4.942447049732042e-06
7,2,-8.444432899308206e-06,4.528981832801987e-06
7,3,7.427062174346233e-07,9.16700057990582e-06
8,1,3.0964162940151057e-06,-1.805399262217888e-06
8,2,4.72270363298216e-06,4.659773993218337e-07
8,3,4.5485122834860575e-06,6.5183871833908734e-06
9,1,1.2558374132574531e-06,1.1621738569917524e-06
9,2,9.539438813640945e-06,-2.99984785682833e-06
9,3,-9.672257128352242e-07,3.5295585708050484e-06
10,1,1.0149390253650312e-06,-8.95768909500526e-06
10,2,1.864567863712912e-06,-5.556062295454714e-06
10,3,-6.002677365399248e-06,7.573817694953071e-06
11,1,-6.0431578452062715e-06,-9.073611804425129e-07
11,2,5.005737644784066e-06,1.4147272461715017e-06
11,3,3.4235400906163277e-06,6.1409149385278105e-06
